date,weekday,daytime,season,weather_conditions,light_conditions,road_surface_conditions,road_type,speed_limit,number_of_vehicles,urban_or_rural_area,IMD_Decile,IncScore,EmpScore,HDDScore,EduScore,CriScore,EnvScore,severity_numeric,severity_binary
2017-02-19,Sun,office hours (10-16),Winter,Fine no high winds,Daylight,Dry,Single carriageway,20,2,Urban,10,0.006,0.003,-2.34,5.284,-0.855,31.686,4,Not Severe
2017-06-29,Thu,afternoon rush (16-19),Summer,Fine no high winds,Daylight,Dry,Dual carriageway,30,2,Urban,4,0.144,0.091,-0.12,11.658,0.449,30.936,4,Not Severe
2017-04-23,Sun,night (23-7),Spring,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,4,0.144,0.091,-0.12,11.658,0.449,30.936,4,Not Severe
2017-03-16,Thu,afternoon rush (16-19),Spring,Fine no high winds,Darkness - lights lit,Dry,Single carriageway,30,2,Urban,3,0.209,0.145,0.403,9.996,0.646,33.404,3,Not Severe
2017-07-19,Wed,evening (19-23),Summer,Fine no high winds,Daylight,Dry,Dual carriageway,30,1,Urban,4,0.122,0.06,0.294,6.505,0.817,30.682,5,Not Severe
2017-07-16,Sun,night (23-7),Summer,Fine no high winds,Daylight,Dry,Roundabout,30,2,Urban,4,0.122,0.06,0.294,6.505,0.817,30.682,4,Not Severe
2017-05-23,Tue,afternoon rush (16-19),Spring,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,4,0.122,0.06,0.294,6.505,0.817,30.682,4,Not Severe
2017-11-24,Fri,evening (19-23),Autumn,Fine no high winds,Darkness - lights lit,Dry,Slip road,20,2,Urban,2,0.225,0.147,0.286,13.408,1.386,36.541,3,Not Severe
2017-09-28,Thu,evening (19-23),Autumn,Fine no high winds,Darkness - lights lit,Dry,Single carriageway,20,1,Urban,2,0.225,0.147,0.286,13.408,1.386,36.541,2,Not Severe
2017-08-13,Sun,evening (19-23),Summer,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,2,0.225,0.147,0.286,13.408,1.386,36.541,5,Not Severe
2017-08-11,Fri,morning rush (7-10),Summer,Fine no high winds,Daylight,Dry,Roundabout,30,2,Urban,2,0.225,0.147,0.286,13.408,1.386,36.541,4,Not Severe
2017-04-12,Wed,morning rush (7-10),Spring,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,2,0.225,0.147,0.286,13.408,1.386,36.541,4,Not Severe
2017-04-03,Mon,office hours (10-16),Spring,Fine no high winds,Daylight,Dry,Dual carriageway,20,2,Urban,2,0.225,0.147,0.286,13.408,1.386,36.541,5,Not Severe
2017-08-07,Mon,evening (19-23),Summer,Fine no high winds,Daylight,Dry,One way street,20,2,Urban,7,0.109,0.055,-0.575,9.051,-2.249,19.383,5,Not Severe
2017-10-11,Wed,afternoon rush (16-19),Autumn,Fine no high winds,Daylight,Dry,Dual carriageway,20,1,Urban,7,0.109,0.055,-0.575,9.051,-2.249,19.383,5,Not Severe
2017-12-03,Sun,afternoon rush (16-19),Winter,Fine no high winds,Darkness - lights lit,Wet or damp,Single carriageway,20,2,Urban,5,0.145,0.094,0.235,5.725,0.628,32.049,4,Not Severe
2017-07-03,Mon,morning rush (7-10),Summer,Fine no high winds,Daylight,Dry,Single carriageway,20,2,Urban,5,0.145,0.094,0.235,5.725,0.628,32.049,5,Not Severe
2017-06-14,Wed,afternoon rush (16-19),Summer,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,6,0.106,0.056,-1.385,9.297,-0.033,33.545,5,Not Severe
2017-07-18,Tue,morning rush (7-10),Summer,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,3,0.226,0.121,0.387,17.35,-0.071,27.287,5,Not Severe
2017-05-05,Fri,morning rush (7-10),Spring,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,4,0.156,0.088,-0.198,17.799,0.563,24.131,3,Not Severe
